Country,Alcohol
Afghanistan,0.01
Albania,4.1
Algeria,0.54
Andorra,9.88
Andorra,
Angola,8.1
Antigua and Barbuda,9.66
Argentina,7.93
Armenia,4.22
Australia,9.9
Austria,12.4
Azerbaijan,0.36
Bahamas,9.22
Bahrain,1.57
Bangladesh,0.01
Barbados,9.27
Belarus,11.29
Belgium,10.57
Belgium,
Belize,6.73
Belize,
Benin,1.53
Bhutan,0.21
Bolivia (Plurinational State of),3.17
Bosnia and Herzegovina,4.69
Botswana,6.04
Brazil,6.91
Brunei Darussalam,0.67
Bulgaria,10.3
Burkina Faso,6.93
Burundi,3.95
Cabo Verde,4.31
Cambodia,3.07
Cameroon,4.7
Canada,8.1
Central African Republic,1.88
Chad,0.68
Chile,7.92
China,5.65
Colombia,4.22
Comoros,
Comoros,0.13
Congo,4.52
Cook Islands,12.97
Costa Rica,3.12
Côte d'Ivoire,1.35
Croatia,9.5
Cuba,4.54
Cyprus,9.63
Czechia,12.75
Democratic People's Republic of Korea,3.89
Democratic Republic of the Congo,0.8
Denmark,9.55
Denmark,
Djibouti,0.32
Dominica,7.03
Dominican Republic,5.23
Ecuador,3.81
Egypt,0.19
El Salvador,2.45
Equatorial Guinea,8.64
Eritrea,1.03
Estonia,17.29
Eswatini,7.28
Ethiopia,0.65
Fiji,2.67
Finland,8.76
Finland,
France,12.07
Gabon,8.21
Gambia,
Gambia,2.68
Georgia,6.49
Germany,11.07
Ghana,1.83
Greece,7.06
Grenada,7.88
Guatemala,1.69
Guinea,0.32
Guinea-Bissau,3.07
Guyana,5.84
Haiti,
Haiti,2.69
Honduras,2.42
Hungary,10.92
Iceland,7.01
India,3
Indonesia,0.09
Iran (Islamic Republic of),0.01
Iraq,0.15
Ireland,10.88
Israel,2.71
Italy,7.56
Italy,
Jamaica,3.2
Japan,8.4
Jordan,0.35
Kazakhstan,3.64
Kenya,1.45
Kiribati,0.33
Kuwait,0
Kyrgyzstan,6.18
Lao People's Democratic Republic,6.74
Latvia,10.6
Lebanon,1.18
Lesotho,2.75
Liberia,3.02
Libya,0.01
Lithuania,14.9
Luxembourg,11.42
Madagascar,0.87
Malawi,2.01
Malaysia,0.54
Maldives,1.3
Mali,0.61
Malta,7.14
Mauritania,0
Mauritius,3.06
Mexico,3.94
Micronesia (Federated States of),1.51
Mongolia,9.88
Montenegro,8.55
Morocco,0.41
Mozambique,1.08
Myanmar,1.36
Namibia,2.59
Nauru,2.44
Nepal,0.24
Netherlands,8.38
New Zealand,8.98
Nicaragua,3.54
Niger,0.12
Nigeria,4.45
Niue,7.81
Norway,6.06
Oman,0.42
Pakistan,0.04
Panama,6.3
Papua New Guinea,1.35
Paraguay,5.39
Peru,5.51
Philippines,4.61
Poland,10.45
Portugal,10.2
Qatar,1.01
Republic of Korea,8.03
Republic of Moldova,7.4
North Macedonia,3.56
Romania,9.48
Russian Federation,8.86
Rwanda,6.5
Saint Kitts and Nevis,8.49
Saint Lucia,9.18
Saint Vincent and the Grenadines,7.12
Samoa,2.05
Sao Tome and Principe,5.63
Saudi Arabia,0
Senegal,0.19
Serbia,7.19
Seychelles,8.44
Sierra Leone,3.04
Singapore,1.84
Slovakia,10.26
Slovenia,10.92
Solomon Islands,0.95
Somalia,0
South Africa,7.21
Spain,7.85
Sri Lanka,2.45
Suriname,5.39
Sweden,7.2
Switzerland,
Switzerland,9.62
Syrian Arab Republic,0.19
Tajikistan,0.83
Thailand,6.91
Timor-Leste,0.41
Togo,1.25
Tonga,0.28
Trinidad and Tobago,5.9
Tunisia,1.48
Turkey,1.39
Turkmenistan,3.24
Tuvalu,1.82
Uganda,7.25
Ukraine,7.58
United Arab Emirates,2
United Kingdom of Great Britain and Northern Ireland,9.45
United Republic of Tanzania,7.43
United States of America,8.78
Uruguay,6.15
Uzbekistan,2.5
Vanuatu,1.39
Venezuela (Bolivarian Republic of),6.6
Viet Nam,2.78
Yemen,0.03
Zambia,4.22
Zimbabwe,4.22
