Country,infant_mortality
Algeria,21.87
Angola,60.47
Benin,64.39
Botswana,40.12
Burkina Faso,61.16
Burundi,48.22
Cabo Verde,17.94
Cameroon,59.5
Central African Republic,90.51
Chad,77.32
Comoros,55.85
Congo,38.66
Côte d'Ivoire,67.3
Democratic Republic of the Congo,74.99
Equatorial Guinea,69.94
Eritrea,34.9
Eswatini,50.09
Ethiopia,45.18
Gabon,37.17
Gambia,40.86
Ghana,40.2
Guinea,69.49
Guinea-Bissau,62.07
Kenya,36.39
Lesotho,71.9
Liberia,66.04
Madagascar,42.34
Malawi,39.15
Mali,68.68
Mauritania,56.18
Mauritius,12.93
Mozambique,63.04
Namibia,33.98
Niger,53.35
Nigeria,80.1
Rwanda,35.69
Sao Tome and Principe,20.15
Senegal,36.18
Seychelles,12.61
Sierra Leone,95.64
South Africa,29.42
South Sudan,63.32
Togo,52.25
Uganda,40.62
United Republic of Tanzania,41.87
Zambia,46.03
Zimbabwe,42.91
Antigua and Barbuda,6.78
Argentina,10.77
Bahamas,12.24
Barbados,13.27
Belize,13.86
Bolivia (Plurinational State of),26.62
Brazil,14.56
Canada,4.73
Chile,6.92
Colombia,13.79
Costa Rica,7.9
Cuba,4.62
Dominica,26.24
Dominican Republic,28.79
Ecuador,13.72
El Salvador,13.84
Grenada,14.02
Guatemala,24.6
Guyana,28.09
Haiti,54.09
Honduras,17.08
Jamaica,13.76
Mexico,14.41
Nicaragua,17.27
Panama,15.07
Paraguay,19.57
Peru,12.71
Saint Kitts and Nevis,14.35
Saint Lucia,18.99
Saint Vincent and the Grenadines,15.73
Suriname,18.63
Trinidad and Tobago,17.79
United States of America,5.88
Uruguay,8.02
Venezuela (Bolivarian Republic of),15.44
Australia,3.35
Brunei Darussalam,8.58
Cambodia,28.7
China,8.99
Cook Islands,7.83
Fiji,20.29
Japan,2.07
Kiribati,45.78
Lao People's Democratic Republic,43.83
Malaysia,6.84
Marshall Islands,29.72
Micronesia (Federated States of),24.91
Mongolia,17.41
Nauru,28.16
New Zealand,4.7
Niue,24.88
Palau,18.91
Papua New Guinea,41.18
Philippines,23.65
Republic of Korea,3.09
Samoa,16.05
Singapore,2.21
Solomon Islands,19.9
Tonga,10.78
Tuvalu,22.63
Vanuatu,24.06
Viet Nam,17.57
Albania,8.8
Andorra,3.29
Armenia,13.26
Austria,3.1
Azerbaijan,24.92
Belarus,3.28
Belgium,3.35
Bosnia and Herzegovina,5.52
Bulgaria,7.28
Croatia,4.25
Cyprus,2.43
Czechia,2.52
Denmark,3.51
Estonia,2.59
Finland,2.09
France,3.13
Georgia,9.71
Germany,3.32
Greece,3.75
Hungary,4.52
Iceland,1.88
Ireland,3.26
Israel,3.24
Italy,3.04
Kazakhstan,11.65
Kyrgyzstan,20.9
Latvia,4.64
Lithuania,4.02
Luxembourg,2.26
Malta,5.76
Monaco,2.96
Montenegro,3.71
Netherlands,3.47
Norway,2.29
Poland,4.32
Portugal,2.97
Republic of Moldova,13.74
North Macedonia,9.86
Romania,8.32
Russian Federation,7.17
San Marino,2.05
Serbia,5.68
Slovakia,5.23
Slovenia,2.19
Spain,2.78
Sweden,2.37
Switzerland,3.77
Tajikistan,33.41
Turkey,11.89
Turkmenistan,36.27
Ukraine,8.42
United Kingdom of Great Britain and Northern Ireland,3.89
Uzbekistan,18.57
Afghanistan,55.17
Bahrain,6.58
Djibouti,56.22
Egypt,20.54
Iran (Islamic Republic of),13.82
Iraq,25.53
Jordan,15.39
Kuwait,7.65
Lebanon,7.37
Libya,11.81
Morocco,21.34
"occupied Palestinian territory, including east Jerusalem",16.85
Oman,9.66
Pakistan,63.78
Qatar,6.96
Saudi Arabia,8.26
Somalia,85.9
Sudan,46.31
Syrian Arab Republic,27.66
Tunisia,14.87
United Arab Emirates,6.66
Yemen,45.36
