Country,Polio
Afghanistan,62
Albania,98
Algeria,95
Andorra,97
Angola,55
Antigua and Barbuda,96
Argentina,92
Armenia,95
Australia,92
Austria,98
Azerbaijan,97
Bahamas,96
Bahrain,98
Bangladesh,97
Barbados,95
Belarus,97
Belgium,99
Belize,95
Benin,71
Bhutan,98
Bolivia (Plurinational State of),85
Bosnia and Herzegovina,86
Botswana,96
Brazil,96
Brunei Darussalam,99
Bulgaria,88
Burkina Faso,91
Burundi,95
Cabo Verde,95
Cambodia,92
Cameroon,84
Canada,91
Central African Republic,50
Chad,44
Chile,95
China,99
Colombia,90
Comoros,87
Congo,90
Cook Islands,99
Costa Rica,91
Côte d'Ivoire,71
Croatia,95
Cuba,99
Cyprus,99
Czechia,99
Democratic People's Republic of Korea,99
Democratic Republic of the Congo,68
Denmark,94
Djibouti,78
Dominica,97
Dominican Republic,90
Ecuador,84
Egypt,94
El Salvador,93
Equatorial Guinea,55
Eritrea,94
Estonia,93
Eswatini,98
Ethiopia,68
Fiji,99
Finland,98
France,98
Gabon,68
Gambia,97
Georgia,91
Germany,93
Ghana,94
Greece,99
Grenada,81
Guatemala,65
Guinea,42
Guinea-Bissau,84
Guyana,97
Haiti,63
Honduras,99
Hungary,99
Iceland,90
India,84
Indonesia,90
Iran (Islamic Republic of),99
Iraq,76
Ireland,96
Israel,95
Italy,95
Jamaica,93
Japan,99
Jordan,98
Kazakhstan,95
Kenya,93
Kiribati,79
Kuwait,94
Kyrgyzstan,95
Lao People's Democratic Republic,83
Latvia,92
Lebanon,81
Lesotho,88
Liberia,62
Libya,94
Lithuania,93
Luxembourg,99
Madagascar,71
Malawi,87
Malaysia,97
Maldives,99
Mali,62
Malta,99
Marshall Islands,77
Mauritania,81
Mauritius,98
Mexico,87
Micronesia (Federated States of),76
Monaco,99
Mongolia,99
Montenegro,91
Morocco,99
Mozambique,88
Myanmar,88
Namibia,88
Nauru,95
Nepal,92
Netherlands,96
New Zealand,93
Nicaragua,99
Niger,79
Nigeria,40
Niue,99
Norway,93
"occupied Palestinian territory, including east Jerusalem",99
Oman,99
Pakistan,69
Palau,95
Panama,80
Papua New Guinea,43
Paraguay,93
Peru,78
Philippines,77
Poland,94
Portugal,98
Qatar,99
Republic of Korea,99
Republic of Moldova,92
North Macedonia,96
Romania,94
Russian Federation,97
Rwanda,98
Saint Kitts and Nevis,96
Saint Lucia,99
Saint Vincent and the Grenadines,97
Samoa,78
San Marino,84
Sao Tome and Principe,95
Saudi Arabia,98
Senegal,85
Serbia,93
Seychelles,99
Sierra Leone,83
Singapore,96
Slovakia,97
Slovenia,95
Solomon Islands,78
Somalia,47
South Africa,85
South Sudan,52
Spain,97
Sri Lanka,99
Sudan,94
Suriname,76
Sweden,97
Switzerland,96
Syrian Arab Republic,52
Tajikistan,94
Thailand,99
Timor-Leste,76
Togo,82
Tonga,98
Trinidad and Tobago,94
Tunisia,94
Turkey,96
Turkmenistan,98
Tuvalu,89
Uganda,78
Ukraine,45
United Arab Emirates,99
United Kingdom of Great Britain and Northern Ireland,95
United Republic of Tanzania,97
United States of America,93
Uruguay,95
Uzbekistan,99
Vanuatu,80
Venezuela (Bolivarian Republic of),79
Viet Nam,96
Yemen,67
Zambia,78
Zimbabwe,92
