"Country","HALE_Birth","Diptheria","BMI","Alcohol","Adult.Mortality","HepB","HIV","infant_mortality","percent.expenditure","Polio","thinness.5.19.years","total.expenditure"
"Antigua and Barbuda",66.8,99,26.5,9.66,127,99,0.4,6.78,15.11,96,3.3,3.47
"Argentina",66.9,94,27.5,7.93,113,94,0,10.77,16.29,92,0.9,6.33
"Australia",70.6,92,27.3,9.9,61,91,0,3.35,15.71,92,0.6,6.1
"Austria",70.4,98,25.9,12.4,65,98,0,3.1,14.34,98,1.9,7.52
"Belarus",65.1,97,27.1,11.29,175,97,0.2,3.28,8.68,97,2,3.37
"Belgium",70,99,26.6,10.57,73,98,0,3.35,14.54,99,1,8.09
"Bosnia and Herzegovina",67,86,26,4.69,96,89,0,5.52,14.43,86,2.4,6.68
"Bulgaria",65.9,88,26.9,10.3,141,95,0,7.28,10.36,88,1.9,4.49
"Canada",71.1,91,27.2,8.1,65,55,0,4.73,18.85,91,0.5,7.23
"Chile",69.4,95,27.9,7.92,88,95,0,6.92,15.69,95,0.8,3.73
"Colombia",68.3,90,26,4.22,139,90,0,13.79,16.18,90,2.1,5.06
"Costa Rica",70,91,27.1,3.12,95,91,0,7.9,29.14,91,1.7,5.44
"Croatia",67.9,95,27.8,9.5,94,95,0,4.25,11.44,95,1.5,5.63
"Cuba",68,99,25.7,4.54,95,97,0,4.62,18.02,99,3.4,10.96
"Czech Republic",68.3,97,27.8,12.75,85,99,0,2.52,14.72,99,1.9,6.27
"Denmark",70.5,94,25.7,9.55,68,80.3333333333333,0,3.51,15.51,94,1,8.56
"Estonia",68.3,93,26.9,17.29,124,93,0,2.59,12.22,93,1.9,4.58
"Finland",70.7,98,26.6,8.76,73,80.3333333333333,0,2.09,13.59,98,0.9,7.78
"France",71.7,98,25.6,12.07,74,83,0,3.13,14.22,98,0.6,8.14
"Germany",70.1,93,27.3,11.07,70,87,0,3.32,19.16,93,1.1,8.49
"Greece",70.4,99,27.7,7.06,67,96,0,3.75,8.9,99,0.7,4.51
"Hungary",66.6,99,27.7,10.92,133,80.3333333333333,0,4.52,9.39,99,1.7,4.71
"Iceland",71.9,90,26.4,7.01,55,80.3333333333333,0,1.88,14.42,90,1,6.62
"Ireland",70.7,96,27.6,10.88,62,95,0,3.26,17.86,96,0.2,6.77
"Italy",71.6,95,26.3,7.56,54,95,0,3.04,13.15,95,0.5,6.69
"Japan",73.6,96,22.9,8.4,54,80.3333333333333,0,2.07,22.62,99,1.9,9.03
"Lithuania",65.3,93,26.9,14.9,167,94,0,4.02,11.88,93,2.7,4.12
"Luxembourg",71.5,99,26.7,11.42,55,94,0,2.26,10.85,99,0.9,4.58
"Malta",71.3,99,27.7,7.14,53,90,0,5.76,14.01,99,0.8,5.6
"Montenegro",66.6,91,26.7,8.55,103,87,0,3.71,10.98,91,1.8,4.86
"Netherlands",71.1,96,26.1,8.38,59,94,0,3.47,15.59,96,0.9,7.15
"New Zealand",69.9,93,28.1,8.98,67,93,0,4.7,19.46,93,0.3,7.28
"Norway",71.2,93,27,6.06,57,80.3333333333333,0,2.29,17.23,93,0.7,7.97
"Panama",68.3,80,26.7,6.3,111,80,0,15.07,18.55,80,1.9,4.32
"Poland",68,98,27,10.45,115,96,0,4.32,10.48,94,2,4.47
"Portugal",70.5,98,26.3,10.2,77,98,0,2.97,11.15,98,0.6,5.77
"Republic of Korea",72,99,23.8,8.03,66,99,0,3.09,12.2,99,1.3,3.71
"Romania",66.3,94,27.1,9.48,140,94,0,8.32,11.23,94,2.7,3.96
"Serbia",66.4,93,26.4,7.19,106,92,0,5.68,12.02,93,2.1,5.38
"Slovakia",67.6,97,26.8,10.26,109,97,0,5.23,12.63,97,1.2,5.47
"Slovenia",70,95,26.8,10.92,70,80.3333333333333,0,2.19,11.79,95,1.4,6
"Spain",71.6,97,26.6,7.85,58,96,0,2.78,14.16,97,0.6,6.39
"Sweden",71.4,97,26.3,7.2,55,42,0,2.37,18.15,97,1.4,9.2
"Switzerland",71.7,96,25.6,9.62,50,80.3333333333333,0,3.77,10.35,96,0.4,3.41
"United Kingdom of Great Britain and Northern Ireland",69.7,95,27.4,9.45,68,80.3333333333333,0,3.89,18.48,95,0.7,7.96
"United States of America",66.6,95,29,8.78,106,92,0,5.88,21.48,93,0.7,8.24
"Uruguay",67.5,95,27.4,6.15,114,95,0,8.02,18.82,95,1.5,5.5
