"Country","Diptheria","BMI","Alcohol","Adult.Mortality","HepB","HIV","infant_mortality","HALE_Birth","percent.expenditure","Polio","thinness.5.19.years","total.expenditure"
"Afghanistan",62,22.8,0.01,234,62,0,55.17,52.6,1.86,62,17.7,0.47
"Albania",98,26.6,4.1,98,98,0.2,8.8,69,8.17,98,1.3,2.59
"Algeria",95,25.3,0.54,98,95,0,21.87,66,11.61,95,5.9,4.71
"Angola",55,22.8,8.1,244,55,4.2,60.47,53.7,3.62,55,8.6,1.32
"Antigua and Barbuda",99,26.5,9.66,127,99,0.4,6.78,66.8,15.11,96,3.3,3.47
"Argentina",94,27.5,7.93,113,94,0,10.77,66.9,16.29,92,0.9,6.33
"Armenia",93,26.4,4.22,118,93,0,13.26,66,6.28,95,2.1,1.51
"Australia",92,27.3,9.9,61,91,0,3.35,70.6,15.71,92,0.6,6.1
"Austria",98,25.9,12.4,65,98,0,3.1,70.4,14.34,98,1.9,7.52
"Azerbaijan",94,26.8,0.36,121,94,0,24.92,63.1,3.1,97,2.8,1.13
"Bahamas",96,27.9,9.22,168,96,0.4,12.24,64.2,15.07,96,2.5,2.5
"Bahrain",98,25.1,1.57,62,98,0,6.58,66.2,10.09,98,6.1,2.87
"Bangladesh",97,21.5,0.01,136,97,0,4.82333333333333,63.8,3.61,97,18.5,0.51
"Barbados",94,27.8,9.27,101,94,0,13.27,67.2,9.92,95,3.8,3.29
"Belarus",97,27.1,11.29,175,97,0.2,3.28,65.1,8.68,97,2,3.37
"Belgium",99,26.6,10.57,73,98,0,3.35,70,14.54,99,1,8.09
"Belize",95,28.7,6.73,183,95,0,13.86,65.1,12.21,95,3.4,3.89
"Benin",74,23.2,1.53,248,74,3,64.39,54.3,4.04,71,7.2,0.58
"Bhutan",99,23.6,0.21,215,99,0.6,4.82333333333333,62.6,7.78,98,16.1,2.46
"Bolivia (Plurinational State of)",85,26.1,3.17,188,85,0.2,26.62,62.7,8.54,85,1.1,3.69
"Bosnia and Herzegovina",86,26,4.69,96,89,0,5.52,67,14.43,86,2.4,6.68
"Botswana",95,23.7,6.04,277,95,8.2,40.12,52.8,10.96,96,6.9,3.8
"Brazil",93,26.3,6.91,145,96,0,14.56,64.7,9.6,96,2.8,3.7
"Brunei Darussalam",99,27.1,0.67,96,99,0,8.58,65.7,5.2,99,5.6,1.77
"Bulgaria",88,26.9,10.3,141,95,0,7.28,65.9,10.36,88,1.9,4.49
"Burkina Faso",91,22.1,6.93,264,91,1.2,61.16,53.4,7.77,91,8.2,1.63
"Burundi",95,21.6,3.95,300,95,1.4,48.22,54,9.79,95,7.4,2.79
"Cape Verde",95,24.2,4.31,126,96,0.4,17.94,65.2,9.98,95,6.9,3.04
"Cambodia",91,21.9,3.07,178,91,0.2,28.7,60.7,5.71,92,11,1.24
"Cameroon",83,24,4.7,358,83,6.9,59.5,51.8,2.94,84,5.8,0.61
"Canada",91,27.2,8.1,65,55,0,4.73,71.1,18.85,91,0.5,7.23
"Central African Republic",45,22.5,1.88,444,45,8.7,90.51,44.2,3.95,50,8.5,0.71
"Chad",36,21.4,0.68,374,36,2.8,77.32,50.5,5.62,44,8.8,1.23
"Chile",95,27.9,7.92,88,95,0,6.92,69.4,15.69,95,0.8,3.73
"China",99,23.7,5.65,83,99,0,8.99,68,9.63,99,3.6,2.79
"Colombia",90,26,4.22,139,90,0,13.79,68.3,16.18,90,2.1,5.06
"Comoros",87,24.2,0.13,230,88,0.2,55.85,58.2,3.82,87,6.8,0.55
"Congo",90,22.9,4.52,279,90,10.3,38.66,54.9,1.95,90,7.6,0.95
"Costa Rica",91,27.1,3.12,95,91,0,7.9,70,29.14,91,1.7,5.44
"Ivory Coast",73,23.5,1.35,418,73,6.9,67.3,52.5,5.11,71,5.8,0.78
"Croatia",95,27.8,9.5,94,95,0,4.25,67.9,11.44,95,1.5,5.63
"Cuba",99,25.7,4.54,95,97,0,4.62,68,18.02,99,3.4,10.96
"Cyprus",99,27,9.63,61,96,0,2.43,71.6,5.98,99,0.9,2.96
"Czech Republic",97,27.8,12.75,85,99,0,2.52,68.3,14.72,99,1.9,6.27
"Democratic Republic of the Congo",68,21.6,0.8,265,68,2.4,74.99,52.4,2.98,68,9.8,0.55
"Denmark",94,25.7,9.55,68,80.3333333333333,0,3.51,70.5,15.51,94,1,8.56
"Djibouti",78,23.7,0.32,256,78,4,56.22,57,6.07,78,5.5,1.76
"Dominican Republic",91,26.2,5.23,166,89,0.2,28.79,63.2,14.48,90,3.3,2.46
"Ecuador",83,26.9,3.81,119,83,0,13.72,67.5,9.44,84,1.2,4.11
"Egypt",94,29.1,0.19,165,94,0,20.54,62,4.16,94,2.8,1.48
"El Salvador",94,27.2,2.45,182,93,0.6,13.84,63.5,17.36,93,1.6,4.78
"Equatorial Guinea",53,23.8,8.64,307,53,10.3,69.94,52.9,1.49,55,8.6,0.47
"Eritrea",94,20.5,1.03,265,94,0.8,34.9,54.1,2.35,94,8.5,0.51
"Estonia",93,26.9,17.29,124,93,0,2.59,68.3,12.22,93,1.9,4.58
"Swaziland",98,25.9,7.28,408,98,20.2,50.09,46.9,8.54,98,4.6,2.74
"Ethiopia",61,20.4,0.65,230,61,1.6,45.18,58.3,4.09,68,10.6,0.71
"Fiji",99,27.5,2.67,190,99,0,20.29,59.6,7.1,99,3.9,2.07
"Finland",98,26.6,8.76,73,80.3333333333333,0,2.09,70.7,13.59,98,0.9,7.78
"France",98,25.6,12.07,74,83,0,3.13,71.7,14.22,98,0.6,8.14
"Gabon",70,24.8,8.21,235,70,8.2,37.17,56.3,6.38,68,6.2,1.52
"Gambia",96,23.5,2.68,267,96,2.3,40.86,55.8,5.75,97,7.6,1.09
"Georgia",91,27.8,6.49,155,91,0,9.71,64.2,7.78,91,2.7,2.18
"Germany",93,27.3,11.07,70,87,0,3.32,70.1,19.16,93,1.1,8.49
"Ghana",98,23.6,1.83,248,98,5.2,40.2,56.5,6.72,94,6.5,1.44
"Greece",99,27.7,7.06,67,96,0,3.75,70.4,8.9,99,0.7,4.51
"Grenada",97,26.6,7.88,143,97,0,14.02,63.9,7.17,81,3.8,2.09
"Guatemala",73,26.1,1.69,169,73,0.6,24.6,61.5,16.46,65,1.2,2.24
"Guinea",44,22.6,0.32,290,44,2.4,69.49,51.5,3.03,42,7.6,0.61
"Guinea-Bissau",86,23.1,3.07,282,86,6.9,62.07,50.9,2.6,84,7.4,0.6
"Guyana",98,26,5.84,264,98,0.8,28.09,57.2,9.35,97,5.4,2.18
"Haiti",63,24.9,2.69,248,63,2.9,54.09,54.6,3.2,63,3.9,0.48
"Honduras",99,26.3,2.42,148,99,0.2,17.08,61.3,11.55,99,2.1,3.19
"Hungary",99,27.7,10.92,133,80.3333333333333,0,4.52,66.6,9.39,99,1.7,4.71
"Iceland",90,26.4,7.01,55,80.3333333333333,0,1.88,71.9,14.42,90,1,6.62
"India",85,21.6,3,183,79,0.2,4.82333333333333,59.1,3.25,84,27.1,0.86
"Indonesia",88,23,0.09,180,88,0.8,4.82333333333333,62.3,5.33,90,10.4,0.99
"Iran (Islamic Republic of)",99,25.9,0.01,83,99,0,13.82,65.7,22.6,99,8.2,3.4
"Iraq",73,28,0.15,192,69,0,25.53,60.8,2.37,76,5.2,1.04
"Ireland",96,27.6,10.88,62,95,0,3.26,70.7,17.86,96,0.2,6.77
"Israel",95,27.3,2.71,58,97,0,3.24,71.8,11.38,95,1.2,4.51
"Italy",95,26.3,7.56,54,95,0,3.04,71.6,13.15,95,0.5,6.69
"Jamaica",92,27.4,3.2,132,92,0.2,13.76,66.6,11.25,93,1.8,3.06
"Japan",96,22.9,8.4,54,80.3333333333333,0,2.07,73.6,22.62,99,1.9,9.03
"Jordan",98,28.3,0.35,113,98,0,15.39,67.6,13.06,98,3.9,4.65
"Kazakhstan",95,26.2,3.64,199,95,0,11.65,63.4,10.03,95,2.4,2.13
"Kenya",92,23,1.45,239,92,5.2,36.39,56.1,7.52,93,7.8,2.04
"Kiribati",75,29.9,0.33,201,75,0,45.78,51.6,7.28,79,0.1,8.23
"Kuwait",95,29.3,0,81,96,0,7.65,70.2,5.57,94,3.4,2.47
"Kyrgyzstan",96,25.9,6.18,175,96,0,20.9,63.7,7.14,95,3.3,2.75
